verbal_noun,English,root
করা,do,কর
হওয়া,become,হ
যাওয়া,go,যা
আসা,come,আস
খাওয়া,eat,খা
দেওয়া,give,দে
নেওয়া,take,নে
পাওয়া,get,পা
দেখা,see,দেখ
বলা,say,বল
শোনা,hear,শোন
জানা,know,জান
চেনা,recognize,চেন
ভাবা,think,ভাব
চাওয়া,want,চা
পারা,be able to,পার
লাগা,need/feel,লাগ
থাকা,stay,থাক
বসা,sit,বস
দাঁড়ানো,stand,দাঁড়া
ঘুমানো,sleep,ঘুমা
হাঁটা,walk,হাঁট
দৌড়ানো,run,দৌড়া
পড়া,read/study,পড়
লেখা,write,লিখ
শেখা,learn,শিখ
শেখানো,teach,শেখা
বোঝা,understand,বুঝ
খোলা,open,খোল
খোঁজা,search,খোঁজ
ভালোবাসা,love,ভালোবাস
হাসা,laugh,হাস
কাঁদা,cry,কাঁদ
দেখানো,show,দেখা
পাঠানো,send,পাঠা
আনা,bring,আন
ঢোকা,enter,ঢোক
বেরোনো,exit,বেরো
ফেরা,return,ফির
পড়া,fall,পড়
চালানো,operate,চালা
থামা,stop,থাম
মেলা,meet,মিল
হারানো,lose,হারা
জেতা,win,জিত
তোলা,raise/lift,তোল
ধরা,catch/hold,ধর
ছাড়া,release/leave,ছাড়
রাখা,keep,রাখ
বদলানো,change,বদলা
মরা,die,মর
বাঁচা,live/survive,বাঁচ
কাঁপা,tremble,কাঁপ
ভাঙা,break,ভাঙ
গড়া,build,গড়
কাটা,cut,কাট
ভরা,fill,ভর
জ্বালানো,burn (tr.),জ্বালা
জ্বলা,burn (intr.),জ্বল
ওঠা,rise/get up,ওঠ
নামা,descend,নাম
ভাসা,float,ভাস
মোছা,wipe,মোছ
লুকানো,hide,লুকা
টানা,pull,টান
ঠেলা,push,ঠেল
পাকা,cook/ripen,পাক
ফাটা,burst,ফাট
বাঁধা,tie,বাঁধ
খোয়ানো,lose (tr.),খোয়া
মাপা,measure,মাপ
গোনা,count,গুন
ডাকা,call,ডাক
